Datum	11.05.12	
Probenkennz.	PBT wei§	
Geschwindigkeit	20	mm/min
Kraftmaximum	2359,41	N
Probenhšhe a0	3,95	mm
Probenbreite b0	10,4	mm
LŠnge l0	70	mm
Probenhšhe aU NACH ZUGVERSUCH	3,27	mm
Probenbreite bU NACH ZUGVERSUCH	8,55	mm
LŠnge lU NACH ZUGVERSUCH	76,4	mm
Standardweg	Standardkraft	
mm	N	
11,8263	2251,44	
11,8396	2251,21	
11,8529	2250,78	
11,8663	2250,49	
11,8795	2250,12	
11,8929	2249,79	
11,9129	2249,3	
11,9263	2248,97	
11,9396	2248,67	
11,9529	2248,34	
11,9663	2247,95	
11,9796	2247,59	
11,9929	2247,26	
12,0062	2246,99	
12,0204	2246,66	
12,033	2246,33	
12,0462	2246	
12,0596	2245,71	
12,0729	2245,38	
12,0862	2244,98	
12,0996	2244,62	
12,1129	2244,22	
12,1263	2243,89	
12,1396	2243,53	
12,1538	2243,1	
12,1662	2242,77	
12,1796	2242,48	
12,1929	2242,15	
12,2063	2241,78	
12,2196	2241,36	
12,2329	2241,03	
12,2462	2240,6	
12,2596	2240,17	
12,2729	2239,87	
12,2862	2239,48	
12,2996	2239,08	
12,3196	2238,42	
12,3329	2237,99	
12,3462	2237,6	
12,3596	2237,27	
12,3729	2236,84	
12,3863	2236,45	
12,3996	2236,08	
12,413	2235,65	
12,4271	2235,16	
12,4396	2234,76	
12,4529	2234,34	
12,4662	2233,94	
12,4796	2233,55	
12,4929	2233,12	
12,5063	2232,69	
12,5196	2232,33	
12,5329	2232	
12,5462	2231,57	
12,5604	2231,14	
12,5729	2230,78	
12,5863	2230,41	
12,5996	2230,05	
12,613	2229,59	
12,6263	2229,06	
12,6396	2228,57	
12,6529	2228,14	
12,6662	2227,74	
12,6805	2227,35	
12,693	2226,92	
12,7062	2226,53	
12,7196	2226,13	
12,7329	2225,7	
12,7462	2225,24	
12,7596	2224,71	
12,7729	2224,32	
12,7863	2223,86	
12,8004	2223,33	
12,813	2222,83	
12,8262	2222,31	
12,8396	2221,84	
12,8529	2221,38	
12,8663	2220,92	
12,8796	2220,46	
12,8929	2220,1	
12,9063	2219,6	
12,9195	2219,08	
12,9337	2218,58	
12,9463	2218,05	
12,9596	2217,63	
12,9729	2217,17	
12,9862	2216,64	
12,9995	2216,18	
13,0129	2215,62	
13,0263	2215,09	
13,0396	2214,53	
13,0529	2214,1	
13,0663	2213,61	
13,0863	2212,78	
13,0996	2212,29	
13,1129	2211,79	
13,1263	2211,2	
13,1395	2210,57	
13,1529	2210,05	
13,1663	2209,55	
13,1796	2208,93	
13,1937	2208,33	
13,2062	2207,74	
13,2195	2207,24	
13,2329	2206,68	
13,2463	2206,16	
13,2596	2205,63	
13,2729	2205,04	
13,2863	2204,48	
13,2996	2203,75	
13,3129	2203,16	
13,3271	2202,47	
13,3396	2201,91	
13,3529	2201,21	
13,3663	2200,49	
13,3796	2199,86	
13,3929	2199,14	
13,4062	2198,48	
13,4196	2197,79	
13,4329	2197,13	
13,4463	2196,5	
13,4596	2195,74	
13,4796	2194,56	
13,4929	2193,76	
13,5063	2193,01	
13,5196	2192,22	
13,533	2191,49	
13,5463	2190,77	
13,5596	2190,04	
13,5729	2189,25	
13,5871	2188,36	
13,5996	2187,54	
13,6129	2186,65	
13,6263	2185,82	
13,6396	2184,96	
13,6529	2184,04	
13,6662	2183,15	
13,6796	2182,23	
13,6929	2181,37	
13,7063	2180,42	
13,7196	2179,49	
13,7396	2178,14	
13,7529	2177,12	
13,7662	2176,07	
13,7796	2175,08	
13,7929	2173,92	
13,8062	2172,84	
13,8196	2171,68	
13,8329	2170,69	
13,8471	2169,47	
13,8596	2168,55	
13,8729	2167,43	
13,8862	2166,24	
13,8996	2165,03	
13,913	2163,74	
13,9263	2162,45	
13,9396	2161,14	
13,9529	2159,78	
13,9662	2158,4	
13,9796	2156,98	
13,993	2155,57	
14,013	2153,26	
14,0262	2151,71	
14,0396	2150,19	
14,0529	2148,58	
14,0662	2146,93	
14,0796	2145,32	
14,0929	2143,54	
14,1062	2141,72	
14,1196	2139,84	
14,1396	2136,81	
14,1529	2134,64	
14,1662	2132,46	
14,1796	2130,25	
14,193	2127,85	
14,2063	2125,54	
14,2196	2123,07	
14,2329	2120,6	
14,2462	2117,96	
14,2596	2115,23	
14,2796	2110,74	
14,2929	2107,48	
14,3063	2104,12	
14,3196	2100,53	
14,3329	2096,8	
14,3462	2092,88	
14,3596	2088,73	
14,3729	2084,41	
14,3871	2079,56	
14,3996	2074,92	
14,4129	2069,55	
14,4262	2063,78	
14,4395	2057,65	
14,4529	2051,12	
14,4663	2043,9	
14,4796	2036,09	
14,4929	2027,52	
14,5062	2018,03	
14,5204	2006,92	
14,5329	1995,98	
14,5463	1983	
14,5596	1968,2	
14,5729	1951,09	
14,5863	1930,99	
14,5996	1906,7	
